open,high,low,close,volume,feature
99.909195,100.906528,99.765029,100.761133,859984,0.000000
100.766337,101.453346,100.510961,101.196879,1160721,-0.021623
101.231547,101.522787,100.659072,100.949501,868705,0.012223
100.865962,102.416932,100.513089,102.059881,831362,-0.054997
102.063452,102.406389,101.403679,101.745548,1072849,0.015399
101.780505,102.963049,101.390992,102.570513,1078456,-0.040541
102.541861,104.097228,102.146111,103.697020,1129087,-0.054914
103.687502,105.091900,103.452649,104.854404,1145975,-0.055806
104.725985,105.858574,104.534166,105.665036,976832,-0.038655
105.689801,107.348497,105.314775,106.968932,982329,-0.061700
106.936602,106.955870,104.617792,104.636646,1007002,0.109017
104.650738,104.814920,104.159256,104.322924,958622,0.014991
104.215326,105.140246,103.890326,104.813381,1176666,-0.023507
104.858387,105.380953,103.963664,104.484365,938782,0.015695
104.488674,105.725583,104.058898,105.292501,1003094,-0.038673
105.277269,105.837236,105.260139,105.820017,1048702,-0.025050
105.685576,105.837836,105.679803,105.832055,951475,-0.000569
105.800084,106.267440,104.204923,104.667275,893183,0.055030
104.652357,105.664968,104.616862,105.629142,981510,-0.045949
105.494670,106.222088,105.101653,105.827831,1160012,-0.009405
105.804920,105.912572,105.244826,105.352018,895949,0.022481
105.275169,105.725536,103.332715,103.776671,857918,0.074766
103.600246,103.909738,103.117018,103.425990,1120450,0.016896
103.430217,104.852218,102.985819,104.403637,1040711,-0.047263
104.408315,104.913082,102.500591,102.998542,855699,0.067291
103.029140,103.045051,101.371973,101.387630,1041968,0.078201
101.384074,101.623477,99.842352,100.078672,811360,0.064552
100.151846,101.351456,100.030808,101.229116,1073872,-0.057477
101.296506,101.818105,100.881386,101.402550,959991,-0.008566
101.353520,102.642260,101.046650,102.332427,1018392,-0.045851
102.299167,102.328088,100.959363,100.987912,1026620,0.065693
100.946863,101.643814,100.836550,101.532860,1026066,-0.026981
101.516251,101.593879,101.024458,101.101769,1189024,0.021229
101.081620,101.463975,100.714947,101.097246,867248,0.000224
101.013945,101.216478,99.722525,99.922870,1184155,0.058082
99.892486,100.015706,99.092205,99.214590,924594,0.035441
99.215200,99.411465,98.717282,98.912949,956619,0.015201
99.004673,99.246028,98.906865,99.148078,858828,-0.011886
99.298825,99.326016,97.792627,97.819412,930130,0.067004
97.820297,97.967703,97.727778,97.875132,1050481,-0.002848
97.959376,98.385784,97.120969,97.545575,1004409,0.016836
97.426797,97.892089,96.500567,96.963647,1164784,0.029829
96.983216,98.852646,96.903889,98.771856,1057518,-0.093242
98.692296,99.260953,98.371695,98.939549,812772,-0.008489
99.074778,99.681963,98.969775,99.576429,1057614,-0.032185
99.655590,101.591021,99.232411,101.161448,860218,-0.079588
101.065164,101.765729,100.631389,101.330813,1151204,-0.008371
101.298020,101.738106,100.256744,100.694207,853898,0.031412
100.666278,102.254674,100.244155,101.827682,819940,-0.056283
101.695464,102.199195,100.891648,101.393885,852290,0.021301
101.442114,101.678465,101.026105,101.262036,1094816,0.006502
101.209100,101.570961,101.067743,101.429296,1184808,-0.008259
101.346584,102.822639,101.201341,102.675491,1093908,-0.061432
102.664364,103.789127,102.165859,103.287596,1183123,-0.029808
103.158984,103.709072,102.930721,103.480098,1106983,-0.009319
103.552378,103.826516,102.309589,102.581156,932286,0.043435
102.560798,103.142645,102.552748,103.134550,982158,-0.026973
103.072561,104.401196,102.615195,103.939981,980018,-0.039048
104.066195,104.193211,103.864543,103.991467,1045722,-0.002477
103.916030,104.254928,103.719513,104.058142,1005495,-0.003206
104.018752,104.029717,103.464869,103.475776,840059,0.027983
103.336672,103.673034,102.928167,103.264293,1127129,0.010219
103.267601,103.806225,102.993260,103.531183,1179989,-0.012923
103.624609,103.862108,102.387759,102.622962,933608,0.043862
102.505549,102.805661,102.021129,102.320700,1052647,0.014727
102.308229,104.605676,101.900182,104.190124,1042431,-0.091351
104.133089,105.060258,103.760909,104.686102,962547,-0.023802
104.590609,105.011620,104.404574,104.825167,887150,-0.006642
104.889282,105.132857,104.622439,104.865960,1112408,-0.001946
104.753560,106.967352,104.625940,106.837194,1042583,-0.093988
106.828170,107.595068,106.436789,107.202317,818094,-0.017088
107.211359,107.534558,106.395984,106.717695,875975,0.022603
106.648617,106.916882,105.861478,106.128434,910394,0.027608
106.211196,106.320143,104.489146,104.596437,873727,0.072177
104.530183,104.746967,103.902170,104.118100,830757,0.022866
104.041010,104.419950,102.847057,103.223018,1074531,0.042984
103.340657,103.680089,102.925102,103.264282,863343,-0.001999
103.209580,104.309755,103.200872,104.300955,1166304,-0.050195
104.338685,106.964658,104.286297,106.910979,1053779,-0.125120
106.812999,107.713994,106.353101,107.252205,944665,-0.015958
107.058404,108.233283,106.746444,107.918816,1195621,-0.031077
107.784868,107.871699,106.617778,106.703738,1175893,0.056296
106.717258,107.290572,106.614021,107.186881,1108922,-0.022639
107.191880,108.143775,106.789649,107.739489,1196482,-0.025778
107.757197,108.360855,107.352738,107.955651,973963,-0.010032
107.861346,108.811188,107.727652,108.676484,1190370,-0.033386
108.682718,109.699446,108.379956,109.394701,1177625,-0.033044
109.238625,109.571394,109.089555,109.422074,901859,-0.001251
109.406721,109.830506,108.943013,109.366643,1063477,0.002533
109.335340,109.930563,109.232186,109.826946,1057530,-0.021044
109.682385,109.840941,108.811887,108.969413,832623,0.039040
108.884136,109.339301,106.710555,107.158506,1066582,0.083092
107.098334,108.504117,106.997878,108.402438,982752,-0.058042
108.432171,109.399261,108.113582,109.078772,850254,-0.031196
109.276994,110.016713,108.761709,109.500375,1024613,-0.019326
109.404802,109.536067,105.702176,105.829150,1097201,0.167635
105.699968,105.941062,104.787817,105.027377,1030998,0.037881
105.062085,105.234592,104.675429,104.847584,880963,0.008559
104.862872,105.017287,103.561124,103.713848,971364,0.054066
103.656410,105.422484,103.169011,104.929101,1150009,-0.058587
104.873282,105.079014,103.457139,103.660492,1100443,0.060451
103.541070,104.428858,103.369870,104.256474,1144794,-0.028747
104.194979,104.221883,103.456541,103.483261,936755,0.037082
103.739226,103.953309,103.481160,103.695152,867549,-0.010238
103.625994,104.918185,103.428231,104.718337,1115337,-0.049336
104.794993,105.128751,104.427271,104.760920,1101454,-0.002033
104.564521,104.739669,104.398432,104.573566,970420,0.008942
104.365411,104.425281,104.113167,104.172927,1091325,0.019156
104.063485,104.104886,103.295267,103.336379,896024,0.040152
103.322848,104.345777,102.947246,103.967830,1041853,-0.030553
104.047491,104.289196,102.721491,102.960672,1037880,0.048436
103.019415,103.376777,102.398386,102.754831,1140523,0.009996
102.717250,103.313302,102.657451,103.253191,893657,-0.024250
103.289500,103.874023,102.856091,103.439982,811472,-0.009045
103.572857,103.870624,102.913063,103.209786,816594,0.011127
103.057196,103.080647,102.745912,102.769297,832273,0.021340
102.724649,103.056544,101.906299,102.236617,1100376,0.025916
102.408910,103.590334,102.395338,103.576607,1169991,-0.065534
103.624557,104.001848,101.647053,102.018497,913918,0.075215
102.127555,103.364138,101.813822,103.047579,853079,-0.050436
103.142809,103.264323,102.886905,103.008261,1028066,0.001908
102.959084,103.579790,102.745105,103.364967,1155779,-0.017314
103.375767,104.730932,102.964133,104.315555,942916,-0.045982
104.363841,105.795233,103.882055,105.309084,814137,-0.047621
105.355834,105.660262,103.323974,103.623397,1132083,0.080035
